sitecode,sitename,continent,h,v
VB,Volcán Barva,LA,9,7
VB,Volcán Barva,LA,9,8
BCI,Barro Colorado Nature Monument - Soberania National Park,LA,10,8
YAN,Yanachaga Chimillén National Park,LA,10,9
YAS,Yasuni,LA,10,9
COU,Cocha Cashu - Manu National Park,LA,10,10
YAN,Yanachaga Chimillén National Park,LA,10,10
MAS,Manaus,LA,11,9
COU,Cocha Cashu - Manu National Park,LA,11,10
CSN,Central Suriname Nature Reserve,LA,12,8
CAX,Caxiuanã,LA,12,9
MAS,Manaus,LA,12,9
KRP,Korup National Park,AF,18,8
NNN,Nouabalé Ndoki,AF,19,8
BIF,Bwindi Impenetrable Forest,AF,20,9
BIF,Bwindi Impenetrable Forest,AF,21,9
UDZ,Udzungwa,AF,21,9
RNF,Ranomafana,AF,22,11
NAK,Nam Kading,AS,27,7
PSH,Pasoh Forest Reserve,AS,28,8
BBS,Bukit Barisan,AS,28,9
